Variable:,pr
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1901,1306.17,1613.03,1080.33,1450.64,1201.97
1902,516.28,634.28,382.68,610.98,507.28
1903,518.29,628.22,385.86,619.48,508.19
1904,684.88,841.54,540.34,781.72,652.77
1905,733.66,886.11,581.17,832.53,716.44
1906,791.23,945.15,621.88,905.80,781.57
1907,926.77,1115.68,741.26,1058.53,889.28
1908,626.79,745.68,482.86,733.96,619.63
1909,1115.51,1371.16,896.86,1275.70,1032.81
1910,984.85,1159.42,797.25,1121.92,958.64
1911,785.84,934.63,608.12,922.31,770.03
1912,611.99,700.66,492.06,708.44,608.11
1913,915.61,1113.58,739.18,1032.63,870.30
1914,819.02,973.77,640.65,955.93,797.93
1915,1089.25,1258.81,911.27,1234.83,1042.94
1916,558.38,645.90,415.29,674.74,570.33
1917,1114.36,1305.10,887.99,1281.50,1100.21
1918,1237.70,1449.74,1024.33,1391.63,1196.34
1919,711.86,787.14,577.16,820.43,730.86
1920,1070.65,1283.02,876.90,1209.93,1013.40
1921,893.79,1049.58,704.47,1034.14,885.80
1922,760.91,918.33,589.33,876.42,749.62
1923,806.97,1085.16,649.33,902.47,676.43
1924,915.80,1183.82,698.53,1057.67,838.65
1925,925.86,1195.37,735.15,1051.39,823.36
1926,628.40,807.50,455.21,741.50,601.80
1927,697.94,830.97,552.13,786.90,700.50
1928,647.27,782.04,530.57,731.66,606.33
1929,822.67,1024.73,624.55,942.66,805.83
1930,660.53,822.12,535.47,732.38,620.75
1931,588.69,787.67,449.99,665.57,528.46
1932,792.18,956.27,629.29,916.01,750.30
1933,759.11,907.60,597.41,870.17,745.82
1934,868.47,1071.24,671.98,1011.79,821.41
1935,496.27,607.00,369.58,582.05,493.52
1936,1073.83,1296.14,877.39,1207.80,1017.27
1937,1014.02,1289.44,808.35,1137.19,932.22
1938,951.25,1294.59,757.55,1057.25,802.57
1939,1176.59,1463.71,920.69,1332.15,1126.97
1940,940.95,1075.72,763.48,1064.68,953.04
1941,612.70,743.64,459.18,724.88,603.82
1942,993.67,1169.39,805.45,1119.46,980.14
1943,1011.67,1152.73,821.20,1162.82,1006.80
1944,865.82,1038.11,656.15,1017.41,859.69
1945,595.27,686.88,480.94,668.72,605.90
1946,901.53,1123.81,684.72,1047.43,865.37
1947,944.67,1240.11,751.59,1072.95,816.82
1948,695.89,788.28,557.91,793.32,716.30
1949,977.81,1139.46,849.44,1076.01,913.49
1950,714.01,815.58,616.37,795.47,679.35
1951,758.35,934.47,575.25,879.33,741.07
1952,735.91,961.00,571.72,846.75,651.42
1953,695.03,869.13,576.49,767.16,632.67
1954,902.78,1034.61,755.91,1022.56,872.02
1955,1098.43,1261.45,909.48,1247.93,1072.42
1956,817.85,969.03,668.54,915.95,798.39
1957,889.13,1060.81,702.64,998.27,896.37
1958,921.22,1101.17,739.52,1058.33,880.58
1959,712.58,858.18,551.18,819.92,706.34
1960,969.55,1099.07,772.56,1113.74,995.77
1961,713.12,992.84,520.67,797.06,651.96
1962,688.13,816.41,559.96,804.09,637.19
1963,693.55,851.71,531.07,824.68,650.38
1964,708.61,836.30,536.25,826.53,726.91
1965,553.96,742.39,410.66,627.60,514.90
1966,878.42,1093.62,718.42,985.97,801.18
1967,855.53,1039.36,672.43,971.58,837.30
1968,711.89,873.09,598.72,800.78,634.13
1969,1061.10,1283.53,829.51,1252.60,996.25
1970,590.36,682.86,454.55,695.82,597.46
1971,897.22,1119.03,674.77,1064.75,846.32
1972,1001.32,1176.67,839.76,1124.95,947.80
1973,964.04,1144.20,746.69,1111.50,968.99
1974,806.64,954.27,595.26,980.63,803.78
1975,1036.50,1240.39,859.74,1137.48,1004.89
1976,958.00,1250.59,783.96,1076.42,812.58
1977,839.95,1056.25,737.63,898.59,723.61
1978,1006.79,1165.65,812.98,1161.14,985.21
1979,683.80,871.38,470.55,846.79,655.71
1980,825.97,1002.29,666.09,957.13,759.03
1981,958.27,1165.29,812.87,1062.48,868.50
1982,560.69,665.97,458.53,634.82,536.61
1983,784.56,994.41,631.25,892.14,701.86
1984,1058.91,1259.08,852.93,1203.33,1029.21
1985,778.25,984.54,618.28,884.10,711.30
1986,687.88,902.35,518.26,796.01,625.78
1987,855.59,995.89,689.37,963.09,862.84
1988,962.50,1135.61,713.49,1151.64,975.92
1989,903.40,990.81,736.58,1024.30,948.39
1990,682.00,862.10,545.93,776.96,615.32
1991,714.23,900.45,539.38,863.73,643.43
1992,513.47,599.20,422.48,586.83,492.21
1993,776.63,907.04,640.63,862.35,768.35
1994,650.06,764.87,529.96,749.94,615.64
1995,782.35,908.11,638.43,901.82,753.39
1996,926.57,1140.89,722.65,1079.41,869.41
1997,920.40,1064.18,768.19,1037.08,891.34
1998,951.37,1149.17,753.30,1090.22,916.80
1999,901.85,1168.55,740.92,1004.77,780.78
2000,1500.58,1838.47,1217.77,1703.26,1391.06
2001,866.14,1080.91,695.94,989.34,787.84
2002,625.00,726.79,487.12,725.94,631.61
2003,726.98,858.28,600.07,820.48,695.19
2004,858.00,1064.50,677.09,987.88,797.49
2005,705.54,855.79,574.99,798.64,661.46
2006,855.81,1070.13,660.19,987.57,809.27
2007,715.39,821.67,585.94,803.64,718.59
2008,797.89,951.83,638.24,914.88,769.94
2009,854.84,1065.02,653.57,998.38,807.81
2010,698.60,857.06,552.32,809.17,651.95
2011,795.64,993.44,633.16,906.99,735.08
2012,949.01,1102.57,786.07,1059.30,933.62
2013,756.96,934.21,615.96,856.55,695.69
2014,811.01,978.35,651.62,928.60,768.66
2015,739.61,860.84,576.52,861.97,743.53
2016,823.65,995.06,637.61,957.89,801.37
2017,863.79,1016.72,732.15,961.89,812.80
2018,752.41,915.74,593.14,863.24,721.52
2019,750.32,901.55,594.23,861.91,725.29
2020,740.25,913.23,587.23,846.54,694.82
