Variable:,pr
,"San Marino","Administrative unit not available"
1901,970.48,970.20
1902,795.08,794.18
1903,787.60,786.97
1904,801.14,801.58
1905,1120.12,1119.26
1906,793.85,794.43
1907,754.72,755.51
1908,695.27,694.99
1909,828.60,828.09
1910,1152.49,1152.61
1911,872.70,871.94
1912,822.39,822.39
1913,833.72,833.62
1914,878.14,877.80
1915,1089.32,1089.46
1916,957.57,957.52
1917,922.53,922.45
1918,750.24,750.54
1919,822.48,822.95
1920,841.03,839.93
1921,619.07,618.53
1922,699.82,699.84
1923,735.37,735.47
1924,761.18,761.41
1925,731.19,731.18
1926,931.62,931.78
1927,702.96,702.16
1928,939.61,939.62
1929,700.96,700.91
1930,886.75,887.44
1931,713.47,713.17
1932,935.65,935.33
1933,873.15,873.72
1934,875.60,875.23
1935,797.66,797.35
1936,807.62,807.01
1937,1271.69,1271.67
1938,710.78,710.63
1939,913.64,913.06
1940,923.57,923.03
1941,913.06,912.62
1942,763.18,762.40
1943,741.74,742.04
1944,781.23,781.15
1945,479.03,479.19
1946,808.69,808.17
1947,836.83,836.50
1948,726.89,727.38
1949,755.99,754.96
1950,692.61,692.74
1951,1013.08,1011.52
1952,724.55,724.36
1953,767.55,767.23
1954,767.58,767.42
1955,785.41,786.05
1956,743.30,742.29
1957,689.16,688.98
1958,795.06,795.13
1959,982.33,982.37
1960,1126.31,1125.45
1961,841.40,841.02
1962,759.99,760.35
1963,954.96,954.53
1964,1026.50,1025.87
1965,864.03,864.07
1966,947.47,947.55
1967,671.95,671.38
1968,899.84,898.13
1969,898.74,898.55
1970,667.69,667.81
1971,614.56,615.14
1972,915.19,914.81
1973,851.71,849.70
1974,686.25,686.31
1975,880.80,880.30
1976,1090.93,1090.70
1977,806.44,807.12
1978,983.58,982.93
1979,1005.41,1004.53
1980,973.97,972.80
1981,894.61,894.75
1982,934.06,933.25
1983,703.32,702.08
1984,1061.19,1060.79
1985,675.36,674.30
1986,877.34,876.88
1987,932.38,932.23
1988,711.45,710.62
1989,809.63,808.91
1990,788.69,787.40
1991,964.88,965.49
1992,875.07,875.41
1993,746.20,746.71
1994,771.84,771.39
1995,810.78,811.77
1996,1093.00,1093.64
1997,779.72,780.26
1998,838.55,838.48
1999,889.98,890.60
2000,716.48,716.72
2001,796.81,795.80
2002,1022.15,1021.19
2003,691.62,691.78
2004,885.03,884.95
2005,958.87,958.45
2006,658.59,658.57
2007,673.27,673.10
2008,890.80,889.92
2009,772.15,771.95
2010,1030.70,1030.19
2011,651.49,651.22
2012,681.01,680.77
2013,866.54,866.35
2014,1031.63,1031.17
2015,620.80,621.42
2016,731.81,731.57
2017,548.59,548.59
2018,729.70,729.45
2019,947.29,946.64
2020,786.70,786.70
