Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1901,17.32,13.47,23.83,12.24,10.56,16.48,18.04,13.78,11.00,16.61,23.86,19.28,18.66,23.20,16.90,10.53,18.28,13.47,12.76,14.61,17.89,21.99,13.59,10.23,17.33,9.64,11.08,16.24,11.43,17.59
1902,17.03,13.04,23.19,11.77,9.82,16.16,17.47,13.30,10.57,16.54,23.42,18.88,18.43,22.66,16.36,9.98,17.87,13.06,12.39,14.31,17.66,22.12,13.27,9.43,17.05,9.12,10.42,15.95,11.00,17.27
1903,16.32,12.50,22.25,11.04,9.74,15.45,16.54,12.97,10.01,15.50,22.70,18.30,17.70,21.92,15.56,9.56,17.44,12.47,11.82,13.71,16.88,21.60,12.69,9.38,16.22,8.73,10.30,15.29,10.51,16.68
1904,16.45,12.57,22.64,11.23,9.37,15.60,16.91,12.76,10.05,15.63,23.01,18.45,17.94,22.15,15.82,9.48,17.28,12.60,11.89,13.68,16.92,21.82,12.69,9.04,16.44,8.60,9.92,15.18,10.45,16.75
1905,16.45,12.60,22.51,11.20,9.67,15.59,16.81,12.95,10.09,15.63,22.91,18.42,17.90,22.12,15.77,9.59,17.46,12.58,11.89,13.77,16.95,21.72,12.74,9.36,16.40,8.75,10.21,15.29,10.54,16.75
1906,16.61,12.68,22.50,11.27,9.89,15.72,16.85,13.12,10.16,15.96,22.92,18.48,18.04,22.14,15.81,9.72,17.66,12.63,11.98,13.97,17.23,21.81,12.90,9.56,16.57,8.89,10.44,15.60,10.67,16.87
1907,16.21,12.37,22.35,10.92,9.17,15.34,16.63,12.47,9.81,15.35,22.79,18.23,17.75,21.86,15.50,9.28,17.01,12.36,11.63,13.43,16.70,21.65,12.43,8.86,16.19,8.35,9.71,14.93,10.17,16.49
1908,16.45,12.37,22.95,11.30,8.96,15.63,17.16,12.45,9.87,15.71,23.21,18.34,18.04,22.24,15.99,9.18,17.03,12.50,11.79,13.53,16.91,21.68,12.57,8.68,16.54,8.25,9.51,15.12,10.23,16.66
1909,16.98,13.03,23.21,11.80,10.05,16.15,17.44,13.47,10.60,16.49,23.36,18.86,18.31,22.71,16.40,10.03,17.92,13.05,12.41,14.29,17.63,21.77,13.26,9.70,17.00,9.22,10.59,15.97,11.10,17.25
1910,16.44,12.78,22.14,11.15,10.08,15.59,16.43,13.39,10.31,15.78,22.57,18.48,17.63,22.04,15.59,9.91,17.78,12.66,12.08,14.01,17.15,21.52,12.94,9.71,16.28,9.16,10.63,15.57,10.92,16.90
