Variable:,tas
,Yemen,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden,Abyan,"Al Bayda","Al Dhale'e","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz
1901,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1902,23.20,15.86,24.22,22.02,17.50,29.09,24.77,17.79,18.90,27.84,22.79,24.02,22.41,16.95,18.52,22.69,18.71,25.54,21.14,18.02,23.59,24.83
1903,23.18,15.90,24.15,22.10,17.55,29.20,24.81,17.83,18.96,27.91,22.79,23.96,22.47,16.98,18.59,22.72,18.79,25.64,21.16,18.02,23.59,24.95
1904,23.16,15.83,24.16,21.98,17.47,29.04,24.75,17.76,18.86,27.79,22.78,23.97,22.37,16.94,18.48,22.66,18.66,25.49,21.12,18.00,23.58,24.77
1905,23.18,15.88,24.17,22.06,17.52,29.15,24.79,17.81,18.94,27.88,22.79,23.99,22.44,16.96,18.56,22.70,18.75,25.60,21.15,18.02,23.59,24.90
1906,23.18,15.88,24.16,22.06,17.52,29.13,24.79,17.80,18.93,27.87,22.79,23.97,22.43,16.96,18.55,22.71,18.74,25.58,21.15,18.02,23.59,24.87
1907,23.13,15.80,24.13,21.91,17.44,28.96,24.72,17.73,18.80,27.71,22.78,23.95,22.31,16.90,18.43,22.62,18.59,25.41,21.11,17.99,23.57,24.68
1908,23.22,15.89,24.23,22.09,17.53,29.16,24.81,17.82,18.95,27.90,22.80,24.04,22.46,16.98,18.57,22.72,18.77,25.62,21.16,18.02,23.59,24.91
1909,23.13,15.72,24.20,21.76,17.35,28.77,24.65,17.64,18.66,27.56,22.77,24.01,22.20,16.84,18.30,22.54,18.44,25.24,21.07,17.96,23.56,24.48
1910,23.19,15.96,24.11,22.21,17.60,29.32,24.86,17.90,19.07,28.02,22.80,23.93,22.55,17.02,18.68,22.78,18.90,25.76,21.18,18.04,23.60,25.08
1911,23.17,16.00,24.07,22.24,17.63,29.36,24.88,17.92,19.10,28.06,22.79,23.89,22.58,17.04,18.71,22.81,18.94,25.81,21.19,18.05,23.60,25.14
1912,23.14,15.82,24.14,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,23.96,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1913,23.14,15.82,24.13,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,23.95,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1914,23.17,15.82,24.19,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.00,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1915,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1916,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1917,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1918,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1919,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1920,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.64,18.64,25.47,21.12,18.00,23.58,24.74
1921,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1922,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.64,18.64,25.47,21.12,18.00,23.58,24.74
1923,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.64,18.64,25.47,21.12,18.00,23.58,24.74
1924,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1925,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1926,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1927,23.20,15.82,24.25,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1928,23.17,15.82,24.20,21.96,17.46,29.01,24.74,17.75,18.84,27.78,22.78,24.01,22.36,16.92,18.46,22.66,18.64,25.47,21.12,18.00,23.58,24.74
1929,23.18,15.82,24.21,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.02,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1930,23.17,15.82,24.20,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.01,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1931,23.17,15.82,24.20,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.01,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1932,23.15,15.82,24.16,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,23.98,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1933,23.15,15.82,24.14,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,23.96,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1934,23.16,15.82,24.17,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,23.99,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1935,23.19,15.82,24.24,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.05,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1936,23.16,15.82,24.17,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,23.99,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1937,23.17,15.82,24.19,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.00,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1938,23.18,15.82,24.21,21.96,17.46,29.01,24.74,17.75,18.84,27.76,22.78,24.02,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1939,23.17,15.82,24.20,21.96,17.46,29.01,24.74,17.75,18.84,27.77,22.78,24.01,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1940,23.19,15.82,24.23,21.96,17.46,29.01,24.74,17.75,18.84,27.78,22.78,24.04,22.36,16.92,18.46,22.65,18.64,25.47,21.12,18.00,23.58,24.74
1941,23.16,15.72,24.23,21.86,17.37,28.96,24.73,17.71,18.78,27.64,22.75,24.03,22.25,16.82,18.38,22.52,18.56,25.41,21.08,17.91,23.57,24.65
1942,23.00,15.59,24.03,21.72,17.25,28.90,24.65,17.62,18.68,27.46,22.64,23.79,22.07,16.67,18.26,22.33,18.44,25.32,20.99,17.76,23.45,24.53
1943,22.89,15.38,23.98,21.35,17.04,28.74,24.61,17.55,18.53,27.01,22.53,23.74,21.70,16.39,17.99,21.95,18.14,25.12,20.92,17.44,23.42,24.16
1944,23.10,15.67,24.19,21.73,17.31,28.89,24.69,17.67,18.71,27.47,22.73,23.96,22.11,16.74,18.28,22.39,18.44,25.31,21.06,17.83,23.53,24.50
1945,22.95,15.56,23.99,21.60,17.21,28.85,24.63,17.62,18.64,27.32,22.63,23.74,21.97,16.62,18.19,22.25,18.35,25.25,20.99,17.68,23.44,24.39
1946,23.11,15.70,24.17,21.85,17.36,29.06,24.76,17.72,18.81,27.61,22.69,23.95,22.21,16.74,18.38,22.42,18.57,25.47,21.06,17.76,23.53,24.68
1947,22.99,15.78,23.93,21.98,17.43,29.17,24.72,17.74,18.88,27.77,22.66,23.62,22.33,16.85,18.47,22.59,18.68,25.59,21.05,17.87,23.41,24.85
1948,23.06,15.62,24.15,21.71,17.27,28.85,24.68,17.66,18.68,27.43,22.65,23.94,22.05,16.64,18.27,22.28,18.43,25.28,21.02,17.66,23.51,24.47
1949,22.80,15.49,23.79,21.56,17.15,28.71,24.57,17.56,18.57,27.26,22.52,23.49,21.90,16.50,18.15,22.12,18.30,25.13,20.93,17.51,23.33,24.30
1950,22.75,15.67,23.62,21.76,17.31,28.72,24.54,17.61,18.63,27.52,22.64,23.27,22.15,16.77,18.28,22.46,18.43,25.19,20.98,17.86,23.26,24.45
1951,23.13,15.59,24.25,21.75,17.24,29.07,24.72,17.66,18.76,27.54,22.63,24.03,22.11,16.66,18.30,22.37,18.51,25.46,20.97,17.74,23.49,24.65
1952,22.91,15.61,23.95,21.81,17.25,28.94,24.42,17.47,18.66,27.64,22.54,23.60,22.20,16.74,18.29,22.50,18.50,25.36,20.82,17.84,23.20,24.65
1953,23.25,16.04,24.19,22.23,17.68,29.60,25.02,18.05,19.24,28.01,22.82,23.98,22.57,17.05,18.77,22.79,19.01,25.96,21.27,18.05,23.63,25.16
1954,23.32,16.10,24.27,22.29,17.74,29.62,25.06,18.11,19.28,28.06,22.91,24.01,22.63,17.14,18.81,22.86,19.05,25.99,21.34,18.15,23.68,25.19
1955,23.14,16.14,23.96,22.39,17.80,29.70,25.07,18.15,19.37,28.15,22.81,23.54,22.71,17.16,18.91,22.91,19.15,26.09,21.31,18.12,23.61,25.30
1956,22.96,15.61,23.99,21.71,17.25,28.89,24.63,17.61,18.68,27.51,22.59,23.71,22.11,16.69,18.25,22.40,18.44,25.32,20.94,17.77,23.42,24.54
1957,22.84,15.46,23.90,21.58,17.10,28.69,24.37,17.39,18.50,27.41,22.44,23.66,22.00,16.58,18.10,22.31,18.29,25.14,20.75,17.66,23.19,24.41
1958,23.24,15.88,24.27,22.03,17.52,29.11,24.78,17.81,18.91,27.83,22.83,24.07,22.43,17.00,18.54,22.72,18.72,25.55,21.16,18.10,23.58,24.81
1959,22.87,15.65,23.83,21.80,17.29,28.99,24.62,17.63,18.75,27.58,22.53,23.47,22.16,16.71,18.31,22.43,18.52,25.41,20.93,17.74,23.38,24.65
1960,23.14,15.69,24.26,21.81,17.32,28.81,24.54,17.56,18.65,27.62,22.72,24.06,22.22,16.83,18.29,22.56,18.46,25.27,20.98,17.96,23.41,24.55
1961,23.05,15.47,24.19,21.56,17.12,28.74,24.63,17.54,18.55,27.31,22.60,24.00,21.93,16.55,18.10,22.22,18.28,25.15,20.93,17.67,23.52,24.34
1962,23.01,15.53,24.15,21.61,17.16,28.61,24.38,17.39,18.47,27.42,22.60,23.96,22.05,16.69,18.11,22.40,18.27,25.08,20.84,17.84,23.29,24.35
1963,23.16,15.85,24.18,21.98,17.48,29.07,24.72,17.75,18.87,27.77,22.78,23.94,22.38,16.95,18.48,22.68,18.66,25.51,21.11,18.05,23.52,24.75
1964,22.78,15.28,23.89,21.38,16.94,28.56,24.39,17.31,18.35,27.16,22.41,23.58,21.78,16.38,17.92,22.08,18.10,24.99,20.71,17.52,23.27,24.18
1965,23.11,15.54,24.25,21.71,17.19,28.84,24.58,17.55,18.63,27.51,22.59,24.14,22.09,16.65,18.22,22.38,18.40,25.29,20.91,17.76,23.42,24.54
1966,23.26,15.72,24.38,21.86,17.37,28.99,24.75,17.72,18.78,27.66,22.78,24.23,22.26,16.83,18.38,22.55,18.56,25.43,21.10,17.94,23.61,24.67
1967,22.93,15.26,24.12,21.35,16.91,28.47,24.38,17.29,18.29,27.13,22.46,23.97,21.75,16.37,17.87,22.06,18.04,24.91,20.73,17.51,23.34,24.13
1968,22.89,15.36,24.03,21.44,17.00,28.51,24.35,17.31,18.33,27.22,22.51,23.80,21.85,16.50,17.96,22.18,18.11,24.95,20.76,17.65,23.28,24.20
1969,23.44,16.01,24.51,22.18,17.65,29.21,24.93,17.96,19.05,27.97,22.95,24.40,22.56,17.11,18.67,22.84,18.85,25.68,21.31,18.18,23.75,24.96
1970,23.32,15.92,24.37,22.04,17.57,29.15,24.90,17.89,18.95,27.82,22.92,24.17,22.42,17.01,18.57,22.71,18.73,25.59,21.27,18.11,23.73,24.82
1971,22.79,15.42,23.81,21.52,17.07,28.66,24.41,17.40,18.47,27.31,22.47,23.53,21.93,16.54,18.05,22.24,18.23,25.09,20.79,17.67,23.26,24.31
1972,23.08,15.80,24.05,21.93,17.44,29.08,24.80,17.78,18.88,27.71,22.73,23.78,22.30,16.87,18.46,22.58,18.65,25.51,21.12,17.92,23.60,24.75
